"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.687,0.694,5,-5.357,0,0.0668,0.0686,3.01e-05,0.373,0.435,123.99,189250,4,"Get Over You","Gab"
0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,102861,4,"Give It To Me - Full Vocal Mix","Gab"
0.846,0.891,1,-4.902,0,0.0652,0.000394,0.803,0.124,0.94,126.029,156216,4,"In The Yuma (feat. Aatig)","Gab"
0.648,0.843,2,-6.695,0,0.033,0.0567,0.0723,0.152,0.745,124.996,178721,4,"Lightning To Strike","Gab"
0.925,0.55,1,-8.42,1,0.107,0.128,0.007,0.0857,0.719,136.004,117027,4,"Players - DJ Smallz 732 - Jersey Club Remix","Gab"
0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891,4,"Just Wanna Rock","Gab"
0.717,0.631,11,-7.277,1,0.0429,0.116,0.00868,0.112,0.198,139.975,260699,4,"Good4U","Gab"
0.988,0.644,10,-10.245,0,0.072,0.118,0.462,0.244,0.499,120.003,256996,4,"Who Loves The Sun feat. Jo.Ke - Edit","Gab"
0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,170977,4,"Super Freaky Girl","Gab"
0.454,0.343,11,-6.382,1,0.0316,0.863,0,0.122,0.209,132.418,251783,4,"When Am I Gonna Lose You - Acoustic","Gab"
0.696,0.801,0,-4.187,1,0.237,0.00384,0.888,0.101,0.316,120.09,121146,4,"NIGHT LIFE","Gab"
0.793,0.723,4,-4.482,1,0.0402,0.0153,0.742,0.342,0.269,95.002,190421,4,"4 a.m.","Gab"
0.766,0.809,1,-6.123,1,0.279,0.0011,0,0.168,0.325,130.127,188013,4,"Black Skinhead","Gab"
0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,221840,4,"A Milli","Gab"
0.642,0.742,1,-7.886,1,0.0348,0.114,0.524,0.125,0.729,146.394,186224,3,"Cola - Sped Up Version","Gab"
0.463,0.827,6,-4.43,0,0.219,0.216,0,0.145,0.399,173.719,237033,4,"One Life","Gab"
0.685,0.23,1,-12.088,0,0.0445,0.991,0.872,0.109,0.311,105.846,76200,4,"Lipgloss","Gab"
0.89,0.656,11,-6.717,1,0.308,0.0291,0.0125,0.0526,0.595,124.826,281280,4,"You Can See The Light (Neon Steve Remix)","Gab"
0.672,0.848,1,-4.518,0,0.0437,0.0252,6.62e-05,0.063,0.0384,122.005,264000,4,"I Feel Fine (Möwe Remix)","Gab"
0.443,0.309,9,-8.393,0,0.0292,0.921,0,0.308,0.457,171.871,219304,4,"Just Before The Morning - Acoustic Version","Gab"
0.669,0.697,6,-6.299,0,0.228,0.0934,0,0.0864,0.535,78.709,220539,4,"leave me","Gab"
0.77,0.576,1,-5.42,1,0.038,0.0231,0.0124,0.0903,0.339,103.993,311950,4,"Don't Sing (Polo & Pan Remix)","Gab"
0.759,0.806,2,-6.113,1,0.0484,0.00776,0.0291,0.34,0.208,126.005,141475,4,"Heal Me - Born Dirty Remix","Gab"
