"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track.name","name"
"95",0.616,0.265,9,-8.791,1,0.0333,0.742,0,0.324,0.312,114.961,"audio_features","3k2xDfsXoDCum9wlrbSOsG","spotify:track:3k2xDfsXoDCum9wlrbSOsG","https://api.spotify.com/v1/tracks/3k2xDfsXoDCum9wlrbSOsG","https://api.spotify.com/v1/audio-analysis/3k2xDfsXoDCum9wlrbSOsG",217043,4,"Heartburn (acoustic version)","Andrew"
"96",0.85,0.556,9,-8.143,1,0.0927,0.106,0,0.144,0.883,114.987,"audio_features","55p8TQ1ggGYOO1gLQrC52D","spotify:track:55p8TQ1ggGYOO1gLQrC52D","https://api.spotify.com/v1/tracks/55p8TQ1ggGYOO1gLQrC52D","https://api.spotify.com/v1/audio-analysis/55p8TQ1ggGYOO1gLQrC52D",184440,4,"Favorite T-Shirt","Andrew"
"97",0.316,0.596,7,-5.806,0,0.0282,0.705,0,0.102,0.563,147.842,"audio_features","5fG83KM7CgRmjcKwmBNx2p","spotify:track:5fG83KM7CgRmjcKwmBNx2p","https://api.spotify.com/v1/tracks/5fG83KM7CgRmjcKwmBNx2p","https://api.spotify.com/v1/audio-analysis/5fG83KM7CgRmjcKwmBNx2p",277533,4,"Tears Don't Fall - Acoustic Version","Andrew"
"98",0.616,0.91,0,-3.004,1,0.0386,0.0459,0,0.343,0.693,144.072,"audio_features","6n9yCXvLhnYMgJIiIcMu7D","spotify:track:6n9yCXvLhnYMgJIiIcMu7D","https://api.spotify.com/v1/tracks/6n9yCXvLhnYMgJIiIcMu7D","https://api.spotify.com/v1/audio-analysis/6n9yCXvLhnYMgJIiIcMu7D",252040,4,"Rockstar","Andrew"
"99",0.64,0.864,7,-6.576,1,0.0314,0.00832,0,0.123,0.701,102.026,"audio_features","42et6fnHCw1HIPSrdPprMl","spotify:track:42et6fnHCw1HIPSrdPprMl","https://api.spotify.com/v1/tracks/42et6fnHCw1HIPSrdPprMl","https://api.spotify.com/v1/audio-analysis/42et6fnHCw1HIPSrdPprMl",268360,4,"Semi-Charmed Life","Andrew"
"100",0.313,0.753,4,-3.921,0,0.0285,0.0313,2.25e-06,0.142,0.514,176.748,"audio_features","3L2Nyi3T7XabH8EEZFLDdX","spotify:track:3L2Nyi3T7XabH8EEZFLDdX","https://api.spotify.com/v1/tracks/3L2Nyi3T7XabH8EEZFLDdX","https://api.spotify.com/v1/audio-analysis/3L2Nyi3T7XabH8EEZFLDdX",309800,4,"Wet Sand","Andrew"
"101",0.457,0.83,5,-5.262,1,0.0321,0.00682,0.00337,0.166,0.602,99.93,"audio_features","1ibeKVCiXORhvUpMmtsQWq","spotify:track:1ibeKVCiXORhvUpMmtsQWq","https://api.spotify.com/v1/tracks/1ibeKVCiXORhvUpMmtsQWq","https://api.spotify.com/v1/audio-analysis/1ibeKVCiXORhvUpMmtsQWq",182040,4,"Pieces","Andrew"
"102",0.45,0.989,6,-3.234,1,0.0574,0.000275,0,0.872,0.455,97.968,"audio_features","1lASDtTqKAfsnD6hixGKtz","spotify:track:1lASDtTqKAfsnD6hixGKtz","https://api.spotify.com/v1/tracks/1lASDtTqKAfsnD6hixGKtz","https://api.spotify.com/v1/audio-analysis/1lASDtTqKAfsnD6hixGKtz",184867,4,"No Reason","Andrew"
"103",0.516,0.884,2,-3.706,0,0.0448,0.000254,0.000347,0.0478,0.448,107.96,"audio_features","1PLMK1ui86iHHG3FM1N7ue","spotify:track:1PLMK1ui86iHHG3FM1N7ue","https://api.spotify.com/v1/tracks/1PLMK1ui86iHHG3FM1N7ue","https://api.spotify.com/v1/audio-analysis/1PLMK1ui86iHHG3FM1N7ue",336113,4,"Diamond Eyes (Boom-Lay Boom-Lay Boom)","Andrew"
"104",0.329,0.947,3,-3.102,0,0.153,0.00123,0,0.0835,0.317,169.965,"audio_features","5U7IkN7mRaulNGWnd7q50j","spotify:track:5U7IkN7mRaulNGWnd7q50j","https://api.spotify.com/v1/tracks/5U7IkN7mRaulNGWnd7q50j","https://api.spotify.com/v1/audio-analysis/5U7IkN7mRaulNGWnd7q50j",218253,4,"Sing It!","Andrew"
